Suggested item,Group,Styles using,Trim lines merged,New Sage code,Unit cost (GBP)
Thread — A&E 36's Stone,Thread,3,1,,
Thread — Coats Epic 40's Gold 02362,Thread,11,6,,
Thread — Coats Epic 75's Black,Thread,1,1,,
Thread — Coats Epic 75's White,Thread,3,1,,
Thread — Coats Epic 80's Biscuit 08569,Thread,3,3,,
Thread — Coats Epic 80's Black,Thread,53,14,,
Thread — Coats Epic 80's Bottle Green 05976,Thread,1,1,,
Thread — Coats Epic 80's Brown 00228,Thread,1,1,,
Thread — Coats Epic 80's Brown 08975,Thread,7,4,,
Thread — Coats Epic 80's Burgundy 03922,Thread,1,1,,
Thread — Coats Epic 80's Burgundy 03944,Thread,3,2,,
Thread — Coats Epic 80's Charcoal 09939,Thread,1,1,,
Thread — Coats Epic 80's Colour TBC,Thread,1,1,,
Thread — Coats Epic 80's Colour TBC 08707,Thread,5,1,,
Thread — Coats Epic 80's Gold 02362,Thread,1,1,,
Thread — Coats Epic 80's Green 05925,Thread,2,2,,
Thread — Coats Epic 80's Grey 09404,Thread,1,1,,
Thread — Coats Epic 80's Grey 09581,Thread,1,1,,
Thread — Coats Epic 80's Grey 09963,Thread,13,11,,
Thread — Coats Epic 80's Grey 09971,Thread,12,8,,
Thread — Coats Epic 80's Grey 09975,Thread,7,5,,
Thread — Coats Epic 80's Grey 09984,Thread,1,1,,
Thread — Coats Epic 80's Khaki 08489,Thread,4,3,,
Thread — Coats Epic 80's Light Grey,Thread,1,1,,
Thread — Coats Epic 80's Maroon 03912,Thread,11,1,,
Thread — Coats Epic 80's Moss 05767,Thread,1,1,,
Thread — Coats Epic 80's Navy,Thread,1,1,,
Thread — Coats Epic 80's Navy 07912,Thread,4,4,,
Thread — Coats Epic 80's Navy 07935,Thread,26,14,,
Thread — Coats Epic 80's Olive 05742,Thread,13,8,,
Thread — Coats Epic 80's Peat 108896,Thread,2,2,,
Thread — Coats Epic 80's Pink 03173,Thread,1,1,,
Thread — Coats Epic 80's Pink 03897,Thread,1,1,,
Thread — Coats Epic 80's Putty 08561,Thread,4,3,,
Thread — Coats Epic 80's Red 03860,Thread,2,2,,
Thread — Coats Epic 80's Rust 08863,Thread,1,1,,
Thread — Coats Epic 80's Sage 05765,Thread,1,1,,
Thread — Coats Epic 80's Stone 08335,Thread,1,1,,
Thread — Coats Epic 80's White,Thread,56,7,,
Thread — Coats Epic 80's Yellow 01425,Thread,1,1,,
Thread — Terking 50's Navy,Thread,2,2,,
Antique brass capped studs,Studs,6,2,,
Apron studs - box marked up ohapp0630 kpln,Studs,2,1,,
Black capped stud,Studs,2,1,,
Bronze large studs,Studs,23,4,,
Bronze large studs male part set to apron female part set to leather (use markers),Studs,2,2,,
Buttons,Studs,19,7,,
Capped stud,Studs,1,1,,
Gilt cap stud 15 mm,Studs,1,1,CMP-STD-CAP-050-929,0.05338
Ring stud,Studs,3,2,,
Ring stud at centre front,Studs,5,3,,
Stud antique brass,Studs,17,5,,
Studs,Studs,22,6,,
White capped stud,Studs,4,1,,
4 hole buttons,Buttons,1,1,,
Brass button,Buttons,6,1,OHBRASSBUTTON,0.02741
Button,Buttons,13,6,OHBRASSBUTTON,0.02741
Button holes,Buttons,2,1,,
Button/buttonholes,Buttons,2,2,,
Button/holes,Buttons,13,6,,
Oh brass button,Buttons,6,2,OHBRASSBUTTON,0.02741
Oh logo button,Buttons,1,1,OHBRASSBUTTON,0.02741
Oliver harvey brass button,Buttons,2,1,OHBRASSBUTTON,0.02741
Antique brass rivet,Rivets,2,1,,
Antique brass rivets,Rivets,27,7,,
Antique brass rivets- nipple rivets,Rivets,8,2,,
Rivets,Rivets,7,4,,
28mm silver eyelets,Eyelets,1,1,,
30mm antique brass eyelets,Eyelets,3,1,,
30mm eyelet and ring antique brass 30mm e/r ab,Eyelets,7,1,,
Antique brass 30mm eyelet,Eyelets,8,1,,
Antique brass eyelets,Eyelets,14,4,,
Antique brass eyelets 30mm,Eyelets,12,1,,
Large antique brass eyelets,Eyelets,2,1,,
32mm bronze d rings,"Buckles, sliders & rings",1,1,CMP-DR32-N254-287,0.3451
Antique brass bar (single brass slider),"Buckles, sliders & rings",2,1,,
Antique brass sliders,"Buckles, sliders & rings",3,1,,
Antique brass sliders (double brass slider),"Buckles, sliders & rings",5,2,,
Antique brass tri glide slider buckle 25mm,"Buckles, sliders & rings",8,3,,
Antique brass tri- glide slider,"Buckles, sliders & rings",4,1,,
Black 20mm waistcoat buckle,"Buckles, sliders & rings",1,1,,
Brass buckle,"Buckles, sliders & rings",1,1,OHBRASSBUCKLE,0.06448
Buckle,"Buckles, sliders & rings",20,3,OHBRASSBUCKLE,0.06448
Concealed studs,"Buckles, sliders & rings",5,1,,
D ring bronze 32mm,"Buckles, sliders & rings",2,1,CMP-DR32-N254-287,0.3451
Fastening,"Buckles, sliders & rings",11,1,,
Large bronze studs male part set to apron female part set to leather trim,"Buckles, sliders & rings",1,1,,
Leather trim,"Buckles, sliders & rings",3,1,,
Ring studs,"Buckles, sliders & rings",7,2,,
Stud fastened neck strap,"Buckles, sliders & rings",2,2,,
Antique brass zip,Zips,2,1,,
Black mediumweight spiral zip,Zips,1,1,,
Single open end zip - moulded size 5 - black,Zips,1,1,,
Single open end zip - moulded size 5 - white,Zips,2,1,,
Ykk zip black metal teeth no. 5 weight,Zips,1,1,,
Zip,Zips,9,6,,
Zip ykk black tape black metal teeth,Zips,1,1,,
Black velcro 20mm hook and loop cut 4cm,Velcro,2,1,,
Velcro,Velcro,7,3,,
White velcro 20mm hook and loop cut 4cm,Velcro,2,1,,
Bonidex elastic,Elastic,1,1,,
Elastic 48mm elastic black,Elastic,2,1,,
Elastic 48mm elastic white,Elastic,2,1,,
Elastic white 25mm,Elastic,1,1,,
OH logo non-tangle tape ties — black,Ties & straps,45,15,,
OH logo non-tangle tape ties — white,Ties & straps,8,5,,
Oliver havey waist ties black,Ties & straps,1,1,,
Plain black non-tangle tape ties,Ties & straps,6,6,,
OH logo non-tangle tape — black (towel loop),Towel loops,75,16,,
OH logo non-tangle tape — white (towel loop),Towel loops,7,3,,
Plain black non-tangle tape (towel loop),Towel loops,6,6,,
Cord,Cords & toggles,4,2,,
Cord ends,Cords & toggles,4,2,,
Toggles,Cords & toggles,4,2,,
Back neck,Ribbons & tapes,2,2,,
Back neck insert ribbon,Ribbons & tapes,6,2,,
Back neck ribbon,Ribbons & tapes,4,1,,
Back-neck insert ribbon,Ribbons & tapes,6,2,,
Black hanger tape,Ribbons & tapes,12,1,,
Made in great britain oh tape black,Ribbons & tapes,1,1,,
Made in great britain tape - black,Ribbons & tapes,1,1,,
Made in great britain trim - black,Ribbons & tapes,4,1,,
Oh back neck ribbon,Ribbons & tapes,1,1,,
Oh made in great britain,Ribbons & tapes,6,3,,
Oh made in great britain - black,Ribbons & tapes,2,1,,
Oh made in great britain white,Ribbons & tapes,1,1,,
Oh neck tape,Ribbons & tapes,2,2,,
Oliver harvey made in britain tape,Ribbons & tapes,3,2,,
Oliver harvey made in england tape,Ribbons & tapes,6,2,,
Oliver harvey neck ribbon,Ribbons & tapes,5,2,,
OH size tax tab,Tax tabs,2,2,,
Red OH tax tab,Tax tabs,108,34,,
Label,Labels & branding,58,37,,
Labels,Labels & branding,19,3,,
