Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T001,Thread,Trim,Thread — A&E 36's Stone,Thread - contrast stitching,Stone a&e 36's w44500,3,,,OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T002,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast,Gold epic 40's 02362,3,,,OHAPP057215DEN; OHAPP0572224DEN; OHAPP0572F224DEN
T003,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,Coats epic 40's gold 02362,2,,,OHAPP0631224DENDS; OHAPP0535224DENDSSHT
T004,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast,Gold 02362 40's all stitching,2,,,OHAPP0597224DEN; OHAPP0597F224DEN
T005,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast stitching,Gold 02362 epic 40's,2,,,OHAPP061803DEN; OHAPP061903DEN
T006,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,Coats gold 40's 02362 for topstitching,1,,,OHAPP0534224DEN
T007,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,COATS GOLD Epic 40'S 02362,1,,,OHAPP0535224DENDS
T008,Thread,Trim,Thread — Coats Epic 75's Black,THREAD,BLACK 75's,1,,,OHCJSSUFFOLK--03L
T009,Thread,Trim,Thread — Coats Epic 75's White,THREAD,WHITE 75's,3,,,OHCJSSUFFOLK--01; OHCJSSUFFOLK--01L; OHCJSSUFFOLK--01S
T010,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's 08569 biscuit,1,,,OHAPP063068HP2
T011,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's khaki brown 08569,1,,,OHAPP0786153
T012,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's sand 08569,1,,,OHTAB131
T013,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,BLACK,14,,,OHCJMCHESHIRE--03; OHCJSMCHESHIRE--03; OHCJCUMBRIA--03; OHCJSCUMBRIA--03; OHCJMDEVON--03; OHCJSMDEVON--03; OHLCJSYORK--03; OHLCJYORK--03; OHAP052003; OHAP352803RS; OHAP352803VARI; OHAP352847; OHCTDURHAM--03; OHCTTDURHAM--03
T014,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80's black,11,,,OHCJSSUFFOLK--03; OHAPP078603; OHTAB03; OHAP352803PC; OHAPP063103DENDS; OHAPP065203; OHLCJDERBYSHIRE--03; OHLCJSDERBYSHIRE--03; OHCTLANCASHIRE--03; OHCTTLANCASHIRE--03; OHAPP053503DSSHT
T015,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Black coats epic 80's,9,,,OHCJSMSTRATFORD--03; OHHTM016003; OHAPP052003; OHAPP352803; OHLCJSHAMPSHIRE--03; OHLCTSHROPSHIRE--03; OHLCTSURREY--03; OHCTLINCOLN--03; OHCTTLINCOLN--03
T016,Thread,Trim,Thread — Coats Epic 80's Black,Thread,Black Epic 80's from Coats,4,,,OHCJMOXFORD--03; OHCJMOXFORD--03L; OHCJSMOXFORD--03; OHCJSMOXFORD--03L
T017,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,BLACK 80'S,3,,,OHAPP059703DEN153; OHAPP0597F03DEN153; OHAPP060003153DEN
T018,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80 col black,2,,,OHAPP054403; OHAPP054447
T019,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,Coats 80's black,2,,,OHAP300503PC; OHAP300503PCS
T020,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,Coats epic 80's black,2,,,OHAP300503PCL; OHAPP300503PCL
T021,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,BLACK 80'S,1,,,OHCJSUFFOLK--03
T022,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Black 80's - coats,1,,,OHAPP053403DEN
T023,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats 80's black,1,,,OHAPP300503
T024,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,COATS BLACK Epic 80'S,1,,,OHAPP053503DENDS
T025,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80 black,1,,,OHAPP061203DEN
T026,Thread,Trim,Thread — Coats Epic 80's Black,THREAD MAIN,Coats epic 80's black,1,,,OHAPP065103
T027,Thread,Trim,Thread — Coats Epic 80's Bottle Green 05976,THREAD,Coats epic 80's bottle green 05976,1,,,OHTAB24
T028,Thread,Trim,Thread — Coats Epic 80's Brown 00228,THREAD,BROWN Coats epic 80's 00228 or 08975,1,,,OHAP352882
T029,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,Coats epic 80's brown 08975,3,,,OHAPP063082KPLN; OHAPP078682; OHTAB82
T030,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,Brown coats epic 80's 08975,2,,,OHAPP352882; OHAPP0535222
T031,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,COATS EPIC 80 COL 08975 Brown,1,,,OHAPP0544222
T032,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD - Main,Coats epic 80's brown 8975,1,,,OHAPP0634913
T033,Thread,Trim,Thread — Coats Epic 80's Burgundy 03922,THREAD - Main,Coats epic 80's burgundy 03922,1,,,OHAPP0634911
T034,Thread,Trim,Thread — Coats Epic 80's Burgundy 03944,THREAD,Coats epic 80's burgundy 03944,2,,,OHAPP078606; OHTAB06
T035,Thread,Trim,Thread — Coats Epic 80's Burgundy 03944,Thread - main,Coats epic 80's maroon 03944,1,,,OHAP300505
T036,Thread,Trim,Thread — Coats Epic 80's Charcoal 09939,THREAD,Charcoal coats 80's thread shade 09939,1,,,OHAPP0590128
T037,Thread,Trim,Thread — Coats Epic 80's Colour TBC,THREAD,Colour coats 80's,1,,,OHKIDSBIB--
T038,Thread,Trim,Thread — Coats Epic 80's Colour TBC 08707,Thread,Coats Epic 80's 08707,5,,,BANDANA109; TI003109; TI004109; TI005109; TI006109
T039,Thread,Trim,Thread — Coats Epic 80's Gold 02362,Thread - contrast,Gold epic 40'2 02362,1,,,OHAPP0598224DEN
T040,Thread,Trim,Thread — Coats Epic 80's Green 05925,THREAD,Coats epic 80's green 05925,1,,,OHAPP0630682KP
T041,Thread,Trim,Thread — Coats Epic 80's Green 05925,THREAD - Main,Coats epic 80's green 5925,1,,,OHAPP0634912
